seed,model_type,model,accuracy,precision,recall,f1
123,Ensemble,hard_voting,0.9612109744560076,0.9612744567777408,0.9612109744560076,0.9612096398372747
123,Ensemble,soft_voting,0.9610217596972563,0.9611803340500897,0.9610217596972563,0.9610184087951573
123,Ensemble,stacking,0.9618732261116367,0.9620225125527357,0.9618732261116367,0.9618701460289327
123,Ensemble,weighted_voting,0.9610217596972563,0.9611803340500897,0.9610217596972563,0.9610184087951573
123,Individual,arabert,0.9552507095553453,0.9555055237931479,0.9552507095553453,0.9552444503824772
123,Individual,camelbert,0.960643330179754,0.9608889288177129,0.9606433301797541,0.9606380863825138
123,Individual,marbert,0.9577105014191107,0.9577600776276309,0.9577105014191107,0.9577093563816397
123,Individual,xlm-roberta,0.9583727530747398,0.9586946299257031,0.9583727530747399,0.9583654490879125
2024,Ensemble,hard_voting,0.9644276253547777,0.9644276918649565,0.9644276253547777,0.9644276240812075
2024,Ensemble,soft_voting,0.9645222327341533,0.9645326272976592,0.9645222327341533,0.9645220342669487
2024,Ensemble,stacking,0.9651844843897824,0.9651994740483686,0.9651844843897823,0.965184203931116
2024,Ensemble,weighted_voting,0.9645222327341533,0.9645326272976592,0.9645222327341533,0.9645220342669487
2024,Individual,arabert,0.9605487228003784,0.9605645689564553,0.9605487228003784,0.9605483834579087
2024,Individual,camelbert,0.9649952696310312,0.9650145153597722,0.9649952696310312,0.9649949074388342
2024,Individual,marbert,0.9616840113528855,0.9616913008958144,0.9616840113528855,0.9616838601115982
2024,Individual,xlm-roberta,0.9616840113528855,0.9618395880840989,0.9616840113528855,0.9616807842701063
42,Ensemble,hard_voting,0.9630085146641438,0.9630483188264569,0.9630085146641438,0.9630077196894782
42,Ensemble,soft_voting,0.9639545884578997,0.964110930320578,0.9639545884578997,0.9639515526096556
42,Ensemble,stacking,0.9640491958372753,0.9641353387685709,0.9640491958372752,0.9640475276539371
42,Ensemble,weighted_voting,0.9639545884578997,0.964110930320578,0.9639545884578997,0.9639515526096556
42,Individual,arabert,0.9579943235572375,0.9581518565845443,0.9579943235572375,0.9579907123908977
42,Individual,camelbert,0.9620624408703878,0.9622968231902896,0.962062440870388,0.9620576317197221
42,Individual,marbert,0.9600756859035005,0.9601518638089899,0.9600756859035005,0.9600740334726706
42,Individual,xlm-roberta,0.9584673604541154,0.9585974138303976,0.9584673604541154,0.9584644156910115
456,Ensemble,hard_voting,0.9658467360454115,0.9658471530045254,0.9658467360454115,0.9658467284031421
456,Ensemble,soft_voting,0.9660359508041627,0.9660828240312662,0.9660359508041627,0.9660350968547482
456,Ensemble,stacking,0.9656575212866604,0.9656943517093477,0.9656575212866604,0.9656568422613452
456,Ensemble,weighted_voting,0.9660359508041627,0.9660828240312662,0.9660359508041627,0.9660350968547482
456,Individual,arabert,0.960643330179754,0.9607027092350315,0.9606433301797541,0.9606420619881795
456,Individual,camelbert,0.9642384105960264,0.964273582805667,0.9642384105960264,0.9642377332809752
456,Individual,marbert,0.9620624408703878,0.9621323450424321,0.962062440870388,0.9620610061656001
456,Individual,xlm-roberta,0.9640491958372753,0.96411306881945,0.9640491958372753,0.9640479588735718
789,Ensemble,hard_voting,0.9624408703878903,0.9625197089040703,0.9624408703878903,0.9624392697900241
789,Ensemble,soft_voting,0.9639545884578997,0.9641377927092213,0.9639545884578997,0.9639510311498907
789,Ensemble,stacking,0.9630085146641438,0.963122739964166,0.9630085146641438,0.9630062336143812
789,Ensemble,weighted_voting,0.9639545884578997,0.9641377927092213,0.9639545884578997,0.9639510311498907
789,Individual,arabert,0.9598864711447493,0.9600382622897944,0.9598864711447492,0.9598831619739265
789,Individual,camelbert,0.9602649006622517,0.9604501276845059,0.9602649006622517,0.9602609041629858
789,Individual,marbert,0.9610217596972563,0.9613738618782312,0.9610217596972563,0.9610143216174694
789,Individual,xlm-roberta,0.9608325449385052,0.9611115439832416,0.9608325449385052,0.9608266194005801
