model,n_seeds,f1_mean,f1_std,f1_formatted
arabert,5,88.36843047989956,0.5188082615794622,88.37 ± 0.52
marbert,5,91.24078385479561,0.31775755323741967,91.24 ± 0.32
xlm-roberta,5,88.25985369569472,0.5823983811843504,88.26 ± 0.58
camelbert,5,90.56316877845249,0.6790550488332928,90.56 ± 0.68
hard_voting,5,91.34353891842791,0.325306345444181,91.34 ± 0.33
soft_voting,5,91.59401648366169,0.13663248684586768,91.59 ± 0.14
weighted_voting,5,91.55932047381562,0.17982043199177536,91.56 ± 0.18
stacking,5,91.50522040273388,0.38765502976933064,91.51 ± 0.39
