model,n_seeds,f1_mean,f1_std,f1_formatted
arabert,5,80.3160342494037,2.9622612100059125,80.32 ± 2.96
marbert,5,87.61888369213266,1.1853459580809664,87.62 ± 1.19
xlm-roberta,5,81.90747595332115,1.9377629737965265,81.91 ± 1.94
camelbert,5,87.08424974457382,1.6727072403298133,87.08 ± 1.67
hard_voting,5,86.25945314319196,2.1048776994655642,86.26 ± 2.10
soft_voting,5,87.59691894839077,1.284829080731586,87.60 ± 1.28
weighted_voting,5,87.52523261211888,1.3000472867529203,87.53 ± 1.30
stacking,5,87.13337654827168,1.1240086722624645,87.13 ± 1.12
